citing_openalex_id,citing_title,citing_year,citing_doi,citing_venue,cited_by_count,country_codes
https://openalex.org/W4390717358,"Fuel demand, carbon tax and electric vehicle adoption in India's road transport",2024,10.1016/j.trd.2023.104010,Transportation Research Part D Transport and Environment,24,FI;IN
https://openalex.org/W4313653980,"Deciphering the factors associated with adoption of alternative fuel vehicles in California: An investigation of latent attitudes, socio-demographics, and neighborhood effects",2023,10.1016/j.tra.2022.10.012,Transportation Research Part A Policy and Practice,21,BE;US
https://openalex.org/W4366977195,Analyzing electric vehicle uptake based on actual household distributions: A contribution to empirical policy formulation,2023,10.1016/j.tranpol.2023.04.011,Transport Policy,18,AU
https://openalex.org/W4388765453,Mechanisms with equity implications for the (non-) adoption of electric mobility in the early stage of the energy transition,2023,10.1080/01441647.2023.2283497,Transport Reviews,16,NL
https://openalex.org/W4396695718,Emerging environmental justice issues at the intersection of transportation and electricity systems,2024,10.1088/2516-1083/ad422e,Progress in Energy,9,
https://openalex.org/W4405649618,Analysis of electric vehicles in the context of the world's largest economies,2024,10.14669/am/196877,The Archives of Automotive Engineering/ Archiwum Motoryzacji,9,CZ;PL
https://openalex.org/W4386733966,Implications of Green Technologies for Environmental Justice,2023,10.1146/annurev-environ-120920-101002,Annual Review of Environment and Resources,8,US
https://openalex.org/W4408596410,Do electric vehicle purchase incentives drive equity? The relationship between incentive policies and vehicle registration rates across California,2025,10.1016/j.tranpol.2025.03.016,Transport Policy,3,US
https://openalex.org/W4409476208,Electrification and Justice for All? A Systematic Review of Equity and Justice Concerns in the Literature on Transportation Electrification,2025,10.1177/08854122251331911,Journal of Planning Literature,3,US
https://openalex.org/W4224293379,Decarbonisation of passenger light-duty vehicles using spatially resolved TIMES-Ireland Model,2022,10.1016/j.apenergy.2022.119078,Applied Energy,41,IE;US
https://openalex.org/W4376125956,Assessing justice in California’s transition to electric vehicles,2023,10.1016/j.isci.2023.106856,iScience,24,US
https://openalex.org/W4382133625,Social equity and public transit in the inland empire: Introducing a transit equity analysis model,2023,10.1016/j.trip.2023.100870,Transportation Research Interdisciplinary Perspectives,16,US
https://openalex.org/W4408823826,Incentive policy formulation for China's electric vehicle market: Navigating pathways to sustainable mobility with a green premium analytical model,2025,10.1016/j.enpol.2025.114610,Energy Policy,12,CN
https://openalex.org/W4403636325,Toward Equitable Progress: A Review of Equity Assessment and Perspectives in Emerging Technologies and Mobility Innovations in Transportation,2024,10.1061/jtepbs.teeng-8675,Journal of Transportation Engineering Part A Systems,6,
https://openalex.org/W4403455324,Who owns Electric Vehicles (EVs)? The relationship between EV adoption and socio-demographic characteristics across different price segments and brands in the Texas triangle,2024,10.1016/j.rtbm.2024.101225,Research in Transportation Business & Management,4,US
https://openalex.org/W4376288633,Electric vehicles as a sustainable energy Technology: Observations from travel survey data and evaluation of adoption with Machine learning method,2023,10.1016/j.seta.2023.103267,Sustainable Energy Technologies and Assessments,7,HK;US
https://openalex.org/W4392110351,Measurement of Regional Electric Vehicle Adoption Using Multiagent Deep Reinforcement Learning,2024,10.3390/app14051826,Applied Sciences,4,US
https://openalex.org/W4402695835,Review on techno-socio-economic studies of electric vehicles in electrical energy systems,2024,10.1016/j.prime.2024.100782,e-Prime - Advances in Electrical Engineering Electronics and Energy,2,
https://openalex.org/W4405648400,Modeling the impact of electric vehicle adoption and charging strategies in ERCOT,2024,10.1088/2753-3751/ad96bc,Environmental Research Energy,0,
https://openalex.org/W4408155531,Built environment and public electric vehicle charging: an investigation using POI data and computer vision,2025,10.1007/s12469-024-00383-6,Public Transport,0,US
https://openalex.org/W4412446806,The US federal tax incentive encourages buyers to lease and purchase electric vehicles,2025,10.1016/j.tra.2025.104605,Transportation Research Part A Policy and Practice,0,
https://openalex.org/W4412817240,Green Product Subsidy Under ESG Consideration and Chain‐to‐Chain Competition,2025,10.1002/bse.70107,Business Strategy and the Environment,0,AU;CN
https://openalex.org/W7117232782,Accessing clean vehicles: How dealer requirements limit equity and emissions benefits under the inflation reduction act’s preowned EV credit,2025,10.1016/j.egycc.2025.100234,Energy and Climate Change,0,US
https://openalex.org/W7118727178,Is plug-in hybrid vehicle a green mode in daily use?,2026,10.1016/j.tranpol.2026.104005,Transport Policy,0,CN
