source,target,type
https://openalex.org/W4200060457,https://openalex.org/W4390717358,Directed
https://openalex.org/W4200060457,https://openalex.org/W4313653980,Directed
https://openalex.org/W4200060457,https://openalex.org/W4366977195,Directed
https://openalex.org/W4200060457,https://openalex.org/W4388765453,Directed
https://openalex.org/W4200060457,https://openalex.org/W4396695718,Directed
https://openalex.org/W4200060457,https://openalex.org/W4405649618,Directed
https://openalex.org/W4200060457,https://openalex.org/W4386733966,Directed
https://openalex.org/W4200060457,https://openalex.org/W4408596410,Directed
https://openalex.org/W4200060457,https://openalex.org/W4409476208,Directed
https://openalex.org/W4200060457,https://openalex.org/W4224293379,Directed
https://openalex.org/W4200060457,https://openalex.org/W4376125956,Directed
https://openalex.org/W4200060457,https://openalex.org/W4382133625,Directed
https://openalex.org/W4200060457,https://openalex.org/W4408823826,Directed
https://openalex.org/W4200060457,https://openalex.org/W4403636325,Directed
https://openalex.org/W4200060457,https://openalex.org/W4403455324,Directed
https://openalex.org/W4200060457,https://openalex.org/W4376288633,Directed
https://openalex.org/W4200060457,https://openalex.org/W4392110351,Directed
https://openalex.org/W4200060457,https://openalex.org/W4402695835,Directed
https://openalex.org/W4200060457,https://openalex.org/W4405648400,Directed
https://openalex.org/W4200060457,https://openalex.org/W4408155531,Directed
https://openalex.org/W4200060457,https://openalex.org/W4412446806,Directed
https://openalex.org/W4200060457,https://openalex.org/W4412817240,Directed
https://openalex.org/W4200060457,https://openalex.org/W7117232782,Directed
https://openalex.org/W4200060457,https://openalex.org/W7118727178,Directed
