id,label,year,country_codes
https://openalex.org/W4200060457,Equity issues associated with U.S. plug-in electric vehicle income tax credits,2021,
https://openalex.org/W4390717358,"Fuel demand, carbon tax and electric vehicle adoption in India's road transport",2024,FI;IN
https://openalex.org/W4313653980,"Deciphering the factors associated with adoption of alternative fuel vehicles in California: An investigation of latent attitudes, socio-demographics, and neighborhood effects",2023,BE;US
https://openalex.org/W4366977195,Analyzing electric vehicle uptake based on actual household distributions: A contribution to empirical policy formulation,2023,AU
https://openalex.org/W4388765453,Mechanisms with equity implications for the (non-) adoption of electric mobility in the early stage of the energy transition,2023,NL
https://openalex.org/W4396695718,Emerging environmental justice issues at the intersection of transportation and electricity systems,2024,
https://openalex.org/W4405649618,Analysis of electric vehicles in the context of the world's largest economies,2024,CZ;PL
https://openalex.org/W4386733966,Implications of Green Technologies for Environmental Justice,2023,US
https://openalex.org/W4408596410,Do electric vehicle purchase incentives drive equity? The relationship between incentive policies and vehicle registration rates across California,2025,US
https://openalex.org/W4409476208,Electrification and Justice for All? A Systematic Review of Equity and Justice Concerns in the Literature on Transportation Electrification,2025,US
https://openalex.org/W4224293379,Decarbonisation of passenger light-duty vehicles using spatially resolved TIMES-Ireland Model,2022,IE;US
https://openalex.org/W4376125956,Assessing justice in California’s transition to electric vehicles,2023,US
https://openalex.org/W4382133625,Social equity and public transit in the inland empire: Introducing a transit equity analysis model,2023,US
https://openalex.org/W4408823826,Incentive policy formulation for China's electric vehicle market: Navigating pathways to sustainable mobility with a green premium analytical model,2025,CN
https://openalex.org/W4403636325,Toward Equitable Progress: A Review of Equity Assessment and Perspectives in Emerging Technologies and Mobility Innovations in Transportation,2024,
https://openalex.org/W4403455324,Who owns Electric Vehicles (EVs)? The relationship between EV adoption and socio-demographic characteristics across different price segments and brands in the Texas triangle,2024,US
https://openalex.org/W4376288633,Electric vehicles as a sustainable energy Technology: Observations from travel survey data and evaluation of adoption with Machine learning method,2023,HK;US
https://openalex.org/W4392110351,Measurement of Regional Electric Vehicle Adoption Using Multiagent Deep Reinforcement Learning,2024,US
https://openalex.org/W4402695835,Review on techno-socio-economic studies of electric vehicles in electrical energy systems,2024,
https://openalex.org/W4405648400,Modeling the impact of electric vehicle adoption and charging strategies in ERCOT,2024,
https://openalex.org/W4408155531,Built environment and public electric vehicle charging: an investigation using POI data and computer vision,2025,US
https://openalex.org/W4412446806,The US federal tax incentive encourages buyers to lease and purchase electric vehicles,2025,
https://openalex.org/W4412817240,Green Product Subsidy Under ESG Consideration and Chain‐to‐Chain Competition,2025,AU;CN
https://openalex.org/W7117232782,Accessing clean vehicles: How dealer requirements limit equity and emissions benefits under the inflation reduction act’s preowned EV credit,2025,US
https://openalex.org/W7118727178,Is plug-in hybrid vehicle a green mode in daily use?,2026,CN
